STATION,ICAO
QC VALCARTIER,CWQG
QC VAL D IRENE RADR,CXAM
QC BEAUHARNOS,CMBR
QC ST CONSTANT,CMCT
QC COVEY HILL,CMCW
QC FORET MONTMORENC,CMFM
QC GRANBY,CMGB
QC HOWICK,CMHW
QC L ARTIFICE,CMLA
QC PIEDMONT,CMPD
QC ST POLYCARPE,CMPL
QC ROUGEMONT,CMRG
QC RIGAUD,CMRI
QC RUSSELTOWN,CMRU
QC RUISSEAU CRANB,CMRY
QC ST SABINE,CMSB
QC ST CELESTIN,CMSC
QC ST M-D-NAPIERVIL,CMSX
QC ST CHRYSOSTOME,CMYT
SK ASSINIBOIA ARPT,CWJI
SK BROADVIEW,CWIK
SK BRATTS LAKE,CXBK
SK BROADVIEW CS,CWXU
SK BUFFALO NARROWS,CWVT
SK BUFFALO NARROWS,CYVT
SK CANDLE LAKE,CWLZ
SK CLUFF LAKE,CXXX
SK CORONACH SPC,CWAQ
SK CYPRESS HILLS PA,CWVP
SK EASTEND CYPRESS,CWEH
SK ELBOW (MARS),CWOK
SK ESTEVAN AIRPORT,CYEN
SK HUDSON BAY,CYHB
SK INDIAN HEAD CDA,CWBD
SK JIMMY LAKE,CWHN
SK KEY LAKE,CYKJ
SK KINDERSLEY,CYKY
SK LA RONGE AIRPORT,CYVC
SK LA RONGE AIRPORT,CXOX
SK LEADER ARPT (AUT,CWJX
SK LUCKY LAKE (AUTO,CWLE
SK MAPLECREEK (AUTO,CWMQ
SK MEADOW LAKE AIRP,CYLJ
SK MELFORT (AUTOB),CWFF
SK MOOSE JAW (CAN M,CYMJ
SK MOOSE JAW,CZMJ
SK NIPAWIN AIRPORT,CYBU
SK NIPAWIN,CWBU
SK NORTH BATTLEFORD,CYQW
SK PRINCE ALBERT AR,CYPA
SK REGINA AIRPORT,CYQR
SK REGINA UNIVERSIT,CWDJ
SK ROCKGLEN (MARS),CWKO
SK ROSETOWN EAST (A,CWRJ
SK SASKATOON AIRPOR,CYXE
SK SOUTHEND (AUTOB),CWJH
SK SPIRITWOOD WEST,CWSR
SK STONY RAPIDS ARP,CYSF
SK SWIFT CURREN,CYYN
SK URANIUM CITY(MAR,CWDC
SK VAL MARIE SE(AUT,CWVN
SK WATROUS EAST (AU,CWIW
SK WEYBURN (AUTOB),CWWF
SK WYNYARD (AUT),CWOY
SK YORKTON AIRPORT,CYQV
SK WALDRON VOR,CYDR
SK CANADA ARTCC,CZFD
YT BEAVER CREEK ARP,CYXQ
YT BURWASH,CYDB
YT CARMACKS,CXCK
YT DAWSON AIRPORT,CYDA
YT FARO (MARS),CWUM
YT FARO APT ARTCC,CZFA
YT HAINES JUNCTION,CWHT
YT HERSCHEL ISLAND,CWJN
YT KOMAKUK BEACH,CWKM
YT MARGARET LAKE,CWZR
YT MAYO AIRPORT,CYMA
YT OLD CROW AIRPORT,CYOC
YT SHINGLE POINT AR,CYUA
YT STORM HILLS,CWVH
YT TESLIN (MARS),CWZW
YT TESLIN ARPT (AUT,CYZW
YT WATSON LAKE AIRP,CYQH
YT WATSON LAKE,CXQH
YT WHITEHORSE AIRPO,CYXY
